sno,Player_Name,First_Match,Last_Match,Matches_Played,Innings,NotOuts,Runs,Highest_Score,Average,Balls_Bowled,Maiden_Overs,Runs_Given,Wickets,Average,Catches,Stumped
101,Saba Karim,1997,2000,34,27,4,362,55,15.73,,,,,,27,3
102,Dodda Ganesh,1997,1997,1,1,0,4,4,4,30,0,20,1,20,0,0
103,Abey Kuruvilla,1997,1997,25,11,4,26,7,3.71,1131,18,890,25,35.6,4,0
104,Noel David,1997,1997,4,2,2,9,8,,192,1,133,4,33.25,0,0
105,Nilesh Kulkarni,1997,1998,10,5,3,11,5,5.5,402,3,357,11,32.45,2,0
106,Harvinder Singh,1997,2001,16,5,1,6,3,1.5,686,6,609,24,25.37,6,0
107,Debashish Mohanty,1997,2001,45,11,6,28,18,5.6,1996,21,1662,57,29.15,10,0
108,Sairaj Bahutule,1997,2003,8,4,1,23,11,7.66,294,0,283,2,141.5,3,0
109,Hrishikesh Kanitkar,1997,2000,34,27,8,339,57,17.84,1006,4,803,17,47.23,14,0
110,Rahul Sanghvi,1998,1998,10,2,0,8,8,4,498,1,399,10,39.9,4,0
111,Ajit Agarkar,1998,2007,191,113,26,1269,95,14.58,9484,100,8021,288,27.85,52,0
112,V. V. S. Laxman,1998,2006,86,83,7,2338,131,30.76,42,0,40,0,,39,0
113,Harbhajan Singh,1998,2015,234,126,35,1213,49,13.32,12359,83,8872,265,33.47,71,0
114,Gagan Khoda,1998,1998,2,2,0,115,89,57.5,,,,,,0,0
115,M. S. K. Prasad,1998,1999,17,11,2,131,63,14.55,,,,,,14,7
116,Nikhil Chopra,1998,2000,39,26,6,310,61,15.5,1835,21,1286,46,27.95,16,0
117,Jatin Paranjpe,1998,1998,4,4,1,54,27,18,,,,,,2,0
118,Sanjay Raul,1998,1998,2,2,0,8,8,4,36,1,27,1,27,0,0
119,Laxmi Ratan Shukla,1999,1999,3,2,0,18,13,9,114,0,94,1,94,1,0
120,Gyanendra Pandey,1999,1999,2,2,1,4,4,4,78,1,60,0,,0,0
121,Amay Khurasiya,1999,2001,12,11,0,149,57,13.54,,,,,,3,0
122,Sadagoppan Ramesh,1999,1999,24,24,1,646,82,28.08,36,0,38,1,38,3,0
123,Virender Sehwag,1999,2013,241,235,9,7995,219,35.37,4290,13,3737,94,39.75,90,0
124,Jacob Martin,1999,2001,10,8,1,158,39,22.57,,,,,,6,0
125,Vijay Bharadwaj,1999,2002,10,9,4,136,41,27.2,372,3,307,16,19.18,4,0
126,Thirunavukkarasu Kumaran,1999,2000,8,3,0,19,8,6.33,378,4,348,9,38.66,3,0
127,Devang Gandhi,1999,2000,3,3,0,49,30,16.33,,,,,,0,0
128,Sameer Dighe,2000,2001,23,17,6,256,94,23.27,,,,,,19,5
129,Sridharan Sriram,2000,2004,8,7,1,81,57,13.5,324,1,274,9,30.44,1,0
130,Hemang Badani,2000,2004,40,36,10,867,100,33.34,183,0,149,3,49.66,13,0
131,Amit Bhandari,2000,2004,2,1,1,,0,,106,0,106,5,21.2,0,0
132,Vijay Dahiya,2000,2001,19,15,2,216,51,16.61,,,,,,19,5
133,Zaheer Khan,2000,2012,194,96,31,753,34,11.58,9815,112,8102,269,30.11,43,0
134,Yuvraj Singh,2000,2017,301,275,39,8609,150,36.47,4988,18,4227,110,38.42,93,0
135,Reetinder Singh Sodhi,2000,2002,18,14,3,280,67,25.45,462,3,365,5,73,9,0
136,Dinesh Mongia,2001,2007,57,51,7,1230,159,27.95,640,1,571,14,40.78,21,0
137,Ashish Nehra,2001,2011,117,45,21,140,24,5.83,5637,53,4899,155,31.6,17,0
138,Shiv Sunder Das,2001,2002,4,4,1,39,30,13,,,,,,0,0
139,Deep Dasgupta,2001,2001,5,4,1,51,24,17,,,,,,2,1
140,Ajay Ratra,2002,2002,12,8,1,90,30,12.85,,,,,,11,5
141,Sanjay Bangar,2002,2004,15,15,2,180,57,13.84,442,2,384,7,54.85,4,0
142,Mohammad Kaif,2002,2006,125,110,24,2753,111,32.01,,,,,,55,0
143,Sarandeep Singh,2002,2003,5,4,1,47,19,15.66,258,1,180,3,60,2,0
144,Murali Kartik,2002,2007,37,14,5,126,32,14,1907,19,1612,37,43.56,10,0
145,Tinu Yohannan,2002,2002,3,2,2,7,5,,120,1,122,5,24.4,0,0
146,Jai Yadav,2002,2005,12,7,3,81,69,20.25,396,4,326,6,54.33,3,0
147,Lakshmipathy Balaji,2002,2009,30,16,6,120,21,12,1447,12,1344,34,39.52,11,0
148,Parthiv Patel,2003,2012,38,34,3,736,95,23.74,,,,,,30,9
149,Gautam Gambhir,2003,2013,147,143,11,5238,150,39.68,6,0,13,0,,36,0
150,Aavishkar Salvi,2003,2003,4,3,1,4,4,2,172,3,120,4,30,2,0
151,Amit Mishra,2003,2016,36,11,3,43,14,5.37,1917,19,1511,64,23.6,5,0
152,Abhijit Kale,2003,2003,1,1,0,10,10,10,,,,,,0,0
153,Irfan Pathan,2004,2012,120,87,21,1544,83,23.39,5855,48,5143,173,29.72,21,0
154,Rohan Gavaskar,2004,2004,11,10,2,151,54,18.87,72,0,74,1,74,5,0
155,Ramesh Powar,2004,2007,31,19,5,163,54,11.64,1536,6,1191,34,35.02,3,0
156,Dinesh Karthik,2004,2019,94,79,21,1752,79,30.2,,,,,,64,7
157,M.S. Dhoni,2004,2019,350,294,84,10773,183,50.57,36,0,31,1,31,318,120
158,Joginder Sharma,2004,2007,4,3,2,35,29,35,150,3,115,1,115,3,0
159,Suresh Raina,2005,2018,226,194,35,5615,116,35.31,2126,5,1811,36,50.3,102,0
160,Yalaka Venugopal Rao,2005,2006,16,11,2,218,61,24.22,,,,,,6,0
161,R. P. Singh,2005,2011,58,20,10,104,23,10.4,2565,31,2343,69,33.95,13,0
162,S. Sreesanth,2005,2011,53,21,10,44,10,4,2476,16,2508,75,33.44,7,0
163,Munaf Patel,2006,2011,70,27,16,74,15,6.72,3154,38,2603,86,30.26,6,0
164,V. R. V. Singh,2006,2006,2,1,0,8,8,8,72,0,105,0,,3,0
165,Robin Uthappa,2006,2015,46,42,6,934,86,25.94,,,,,,19,2
166,Wasim Jaffer,2006,2006,2,2,0,10,10,5,,,,,,0,0
167,Piyush Chawla,2007,2011,25,12,5,38,13,5.42,1312,6,1117,32,34.9,9,0
168,Rohit Sharma,2007,2023,262,254,36,10709,264,49.12,598,2,522,9,58,93,0
169,Ishant Sharma,2007,2016,80,28,13,72,13,4.8,3733,29,3563,115,30.98,19,0
170,Praveen Kumar,2007,2012,68,33,12,292,54,13.9,3242,44,2774,77,36.02,11,0
171,Manoj Tiwary,2008,2015,12,12,1,287,104,26.09,132,0,150,5,30,4,0
172,Yusuf Pathan,2008,2012,57,41,11,810,123,27,1490,3,1365,33,41.36,17,0
173,Manpreet Gony,2008,2008,2,,,,,,78,1,76,2,38,0,0
174,Pragyan Ojha,2008,2012,18,10,8,46,16,23,876,5,652,21,31.04,7,0
175,Virat Kohli?,2008,2023,292,280,44,13848,183,58.67,662,1,680,5,136,151,0
176,Subramaniam Badrinath,2008,2011,7,6,1,79,27,15.8,,,,,,2,0
177,Ravindra Jadeja,2009,2023,197,132,47,2756,87,32.42,9750,56,7936,220,36.07,74,0
178,Abhishek Nayar,2009,2009,3,1,1,0,0,,18,0,17,0,,0,0
179,Sudeep Tyagi,2009,2010,4,1,1,1,1,,165,4,144,3,48,1,0
180,Abhimanyu Mithun,2010,2011,5,3,0,51,24,17,180,1,203,3,92.72,1,0
181,Murali Vijay,2010,2015,17,16,0,339,72,21.18,36,0,37,1,37,9,0
182,Ashok Dinda,2010,2013,13,5,0,21,16,4.2,594,1,612,12,51,1,0
183,Vinay Kumar,2010,2013,31,13,4,86,27,9.55,1436,19,1423,38,37.44,6,0
184,Umesh Yadav,2010,2018,75,24,14,79,18,7.9,3558,23,3565,106,33.63,22,0
185,Ravichandran Ashwin,2010,2023,116,63,20,707,65,16.44,6303,37,5180,156,33.2,31,0
186,Naman Ojha?,2010,2010,1,1,0,1,1,1,,,,,,0,1
187,Pankaj Singh,2010,2010,1,1,1,3,3,,42,0,45,0,,1,0
188,Shikhar Dhawan?,2010,2022,167,164,10,6793,143,44.11,,,,,,83,0
189,Saurabh Tiwary,2010,2010,3,2,2,49,37,,,,,,,2,0
190,Wriddhiman Saha,2010,2014,9,5,2,41,16,13.66,,,,,,17,1
191,Ajinkya Rahane,2011,2018,90,87,3,2962,111,35.26,,,,,,48,0
192,Varun Aaron,2011,2014,9,3,2,8,6,8,380,1,419,11,38.09,1,0
193,Rahul Sharma,2011,2012,4,1,0,1,1,1,206,0,177,6,29.5,1,0
194,Bhuvneshwar Kumar,2012,2022,121,55,16,552,53,14.15,5847,68,4951,141,35.11,29,0
195,Mohammed Shami,2013,2023,101,48,20,220,25,7.85,4985,51,4618,195,23.68,31,0
196,Ambati Rayudu,2013,2019,55,50,14,1694,124,47.05,121,1,124,3,41.33,17,0
197,Jaydev Unadkat,2013,2023,8,,,,,,342,5,225,9,25,1,0
198,Cheteshwar Pujara,2013,2014,5,5,0,51,27,10.2,,,,,,0,0
199,Mohit Sharma,2013,2015,26,9,5,31,11,7.75,1121,12,1020,31,32.9,6,0
200,Stuart Binny,2014,2015,14,11,3,230,77,28.75,490,4,439,20,21.95,3,0
201,Parvez Rasool,2014,2014,1,,,,,,60,0,60,2,30,0,0
202,Axar Patel,2014,2023,57,36,10,489,64,18.8,2607,19,1972,60,32.86,23,0
203,Dhawal Kulkarni,2014,2016,12,2,2,27,25,,598,5,508,19,26.73,2,0
204,Karn Sharma,2014,2014,2,,,,,,114,1,125,0,,3,0
205,Kedar Jadhav,2014,2020,73,52,19,1389,120,42.09,1187,1,1020,27,37.77,33,0
206,Manish Pandey,2015,2021,29,24,7,566,104,33.29,,,,,,10,0
207,Barinder Sran,2016,2016,6,,,,,,302,2,269,7,38.42,1,0
208,Rishi Dhawan,2016,2016,3,2,1,12,9,12,150,0,160,1,160,0,0
209,Gurkeerat Singh,2016,2016,3,3,1,13,8,6.5,60,0,68,0,,1,0
210,Jasprit Bumrah,2016,2023,89,26,14,91,16,7.58,4580,57,3509,149,23.55,18,0
211,Yuzvendra Chahal,2016,2023,72,14,5,77,18,8.55,3739,14,3283,121,27.13,16,0
212,Karun Nair,2016,2016,2,2,0,46,39,23,,,,,,0,0
213,KL Rahul ,2016,2023,75,70,14,2820,112,50.35,,,,,,62,5
214,Faiz Fazal,2016,2016,1,1,1,55,55,,,,,,,0,0
215,Hardik Pandya,2016,2023,86,61,9,1769,92,34.01,3199,15,2960,84,35.23,32,0
216,Jayant Yadav,2016,2022,2,2,1,3,2,3,84,0,61,1,61,1,0
217,Kuldeep Yadav,2017,2023,103,37,18,190,19,10,5189,29,4370,168,26.01,15,0
218,Shardul Thakur,2017,2023,47,25,6,329,50,17.31,1940,10,2014,65,30.98,9,0
219,Shreyas Iyer,2017,2023,59,54,6,2383,128,49.64,37,0,39,0,,24,0
220,Washington Sundar,2017,2023,19,11,1,265,51,26.5,636,2,521,18,28.94,4,0
221,Siddarth Kaul,2018,2018,3,2,0,1,1,0.5,162,0,179,0,,1,0
222,Khaleel Ahmed,2018,2019,11,3,1,9,5,4.5,480,2,465,15,31,1,0
223,Deepak Chahar,2018,2022,13,9,3,203,69,33.83,510,5,489,16,30.56,1,0
224,Rishabh Pant ,2018,2022,30,26,1,865,125,34.6,,,,,,26,1
225,Mohammed Siraj,2019,2023,41,14,8,46,9,7.66,1825,29,1550,68,22.79,6,0
226,Vijay Shankar,2019,2019,12,8,1,223,46,31.85,233,0,210,4,52.5,7,0
227,Shubman Gill,2019,2023,44,44,7,2271,208,61.37,12,0,11,0,,30,0
228,Shivam Dube,2019,2019,1,1,0,9,9,9,47,0,68,0,,0,0
229,Navdeep Saini,2019,2021,8,5,3,107,45,53.5,420,0,481,6,80.16,3,0
230,Mayank Agarwal,2020,2020,5,5,0,86,32,17.2,,,,,,2,0
231,Prithvi Shaw,2020,2021,6,6,0,189,49,31.5,,,,,,2,0
232,T. Natarajan,2020,2021,2,1,0,0,0,,120,1,143,3,47.66,0,0
233,Krunal Pandya,2021,2021,5,4,2,130,58,65,228,1,223,2,111.5,1,0
234,Prasidh Krishna,2021,2023,17,7,5,2,2,1,794,7,742,29,25.58,3,0
235,Ishan Kishan,2021,2023,27,24,2,933,210,42.4,,,,,,13,2
236,Suryakumar Yadav,2021,2023,37,35,5,773,72,25.76,12,0,17,0,,17,0
237,Rahul Chahar,2021,2021,1,1,0,13,13,13,60,0,54,3,18,0,0
238,Krishnappa Gowtham,2021,2021,1,1,0,2,2,2,48,0,49,1,49,1,0
239,Nitish Rana,2021,2021,1,1,0,7,7,7,18,0,10,0,,0,0
